Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"M5046.Alarm.QS_Fault","DB70.DBX90.5",Boolean,1,RO,100,,,,,,,,,,"M5046隔离开关故障",
"M5046.Alarm.R_Fault","DB50.DBX1362.6",Boolean,1,RO,100,,,,,,,,,,"M5046右超宽",
"M5046.Alarm.RFID_ReadFault","DB50.DBX1363.3",Boolean,1,RO,100,,,,,,,,,,"M5046RFID读取错误",
"M5046.Alarm.RFID_WriteFault","DB50.DBX1363.2",Boolean,1,RO,100,,,,,,,,,,"M5046RFID写入错误",
"M5046.Alarm.STV_TimeOut","MX1101.6",Boolean,1,RO,100,,,,,,,,,,"M5046环穿任务超时",
"M5046.Alarm.TimeOutFault","DB70.DBX90.3",Boolean,1,RO,100,,,,,,,,,,"M5046超时故障",
"M5046.Alarm.TM_JY_Fault","DB50.DBX1363.0",Boolean,1,RO,100,,,,,,,,,,"M5046条码校验故障",
"M5046.Alarm.TotalFault","DB70.DBX90.1",Boolean,1,RO,100,,,,,,,,,,"M5046总故障",
"M5046.Alarm.WX_Fault","DB50.DBX1362.1",Boolean,1,RO,100,,,,,,,,,,"M5046外形故障",
"M5046.Alarm.WX_TM_Fault","DB50.DBX1362.0",Boolean,1,RO,100,,,,,,,,,,"M5046外形条码总故障",
"M5046.State.Allow","DB50.DBB1369",Byte,1,RO,100,,,,,,,,,,"M5046允许拆盘",
"M5046.State.ForwardRun","DB70.DBX91.6",Boolean,1,RO,100,,,,,,,,,,"M5046正转运行",
"M5046.State.Get_Num","DB50.DBB1368",Byte,1,RO,100,,,,,,,,,,"M5046已取数量",
"M5046.State.GET_OK1","Q119.5",Boolean,1,RO,100,,,,,,,,,,"5046取货OK",
"M5046.State.GET_REQ","I156.2",Boolean,1,RO,100,,,,,,,,,,"5046环穿请求取货",
"M5046.State.LastOne","DB50.DBX1363.4",Boolean,1,RO,100,,,,,,,,,,"M5046强制推盘",
"M5046.State.Load","DB70.DBX91.5",Boolean,1,RO,100,,,,,,,,,,"M5046负载",
"M5046.State.M5046_DOWN","Q36.7",Boolean,1,RO,100,,,,,,,,,,"5046气缸下降",
"M5046.State.M5046_UP","Q36.5",Boolean,1,RO,100,,,,,,,,,,"5046气缸上升",
